outprefix,dataset,njobs,timeinsecs
XGB-CV,GMSC,1,
jfr-XGB-CV,GMSC,1,
XGB-noCV,GMSC,2,
jfr-XGB-noCV,GMSC,2,
XGB-noCV,GMSC,4,
jfr-XGB-noCV,GMSC,4,
RFC-noCV,covtypeNorm,1,
jfr-RFC-noCV,covtypeNorm,1,
RFC-noCV,GMSC,1,
jfr-RFC-noCV,GMSC,1,
RFC-noCV,GMSC,2,
jfr-RFC-noCV,GMSC,2,
,,,
jfr-,,,
